game_id,Referee,Umpire,Head Linesman,Line Judge,Back Judge,Side Judge,Field Judge
1999_04_ARI_DAL,Bill Carollo,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Scott Edwards
1999_04_NYJ_DEN,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Jim Howey,Ken Baker,Bill Lovett
1999_04_TB_MIN,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Pete Morelli
1999_04_PHI_NYG,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_04_JAX_PIT,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_04_KC_SD,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_04_OAK_SEA,Bernie Kukar,Carl Paganelli,Tom Johnson,Jeff Bergman,Richard Reels,Dave Wyant,Lloyd McPeters
1999_04_TEN_SF,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Kevin Mack
1999_04_CAR_WAS,Ron Winter,NA,NA,NA,NA,NA,NA
1999_04_BUF_MIA,Bill Carollo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Tim Mills
1999_05_NYG_ARI,Tom White,Jim Quirk,Paul Weidner,Ron Mariucci,Bob Waggoner,Gary Lane,Keven Mack
1999_05_PIT_BUF,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_05_CIN_CLE,Ron Winter,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Tom Sifferman
1999_05_SD_DET,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob McGrath
1999_05_TB_GB,Phil Luckett,Bob Wagner,Gary Slaughter,Byron Boston,Bill Leavy,Ron Liebsack,David Warden
1999_05_MIA_IND,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Keven Mack
1999_05_NE_KC,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Jim Howey,Ken Baker,Bill Lovett
1999_05_CHI_MIN,Jeff Triplette,Jim Daopoulus,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAuley,Boris Cheek
1999_05_ATL_NO,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_05_DEN_OAK,Ron Blum,Steve Wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_05_DAL_PHI,Bernie Kukar,Carl Paganelli,Tom Johnson,Tom Barnes,Richard Reels,Dave Wyant,Lloyd McPeters
1999_05_SF_STL,Bill Carollo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Tim Millis
1999_05_BAL_TEN,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_05_JAX_NYJ,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Pete Morelli
1999_06_WAS_ARI,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Keven Mack
1999_06_STL_ATL,Ron Blum,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Baetz
1999_06_OAK_BUF,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_06_PHI_CHI,Phil Luckett,Bob Wagner,Gary Slaughter,Byron Boston,Bill Leavy,Ron Liebsack,David Warden
1999_06_PIT_CIN,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAuley,Boris Cheek
1999_06_GB_DEN,Tom White,Jim Quirk,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Scott Edwards
1999_06_MIN_DET,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steven Zimmer
1999_06_CLE_JAX,Tony Corrente,Ron Botchan,Terry Glerke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_06_MIA_NE,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_06_TEN_NO,Bernie Kukar,Carl Paganelli,Tom Johnson,Walt Anderson,Richard Reels,Dave Wyant,Lloyd McPeters
1999_06_IND_NYJ,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob McGrath
1999_06_SEA_SD,Bill Carollo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Tim Millis
1999_06_CAR_SF,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Bill Lovett,Ken Baker,Jim Howey
1999_06_DAL_NYG,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_07_KC_BAL,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_07_DET_CAR,Ron Blum,Steve Wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_07_WAS_DAL,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Peter Morelli
1999_07_CIN_IND,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_07_PHI_MIA,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Baetz
1999_07_SF_MIN,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_07_DEN_NE,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Kevin Mack
1999_07_NO_NYG,Phil Luckett,Bob Waggoner,Gary Slaughter,Byron Boston,Bill Leavy,Ron Liebsack,David Warden
1999_07_NYJ_OAK,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAulay,Boris Cheek
1999_07_GB_SD,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Jim Howey,ken Baker,Bill Lovett
1999_07_BUF_SEA,Tom White,Jim Quick,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Scott Edwards
1999_07_CLE_STL,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob McGrath
1999_07_CHI_TB,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_07_ATL_PIT,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steven Zimmer
1999_08_NE_ARI,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Dave Carroll
1999_08_CAR_ATL,Tom White,Jim Quirk,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Scott Edwards
1999_08_BUF_BAL,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAulay,Boris Cheek
1999_08_JAX_CIN,Bernie Kukar,Carl Paganelli,Tom Johnson,Jeff Bergman,Richard Reels,Dave Wyant,Terry McAulay
1999_08_MIN_DEN,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_08_TB_DET,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Baetz
1999_08_DAL_IND,Bill Carolo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelliy,Larry Rose,Tim Millis
1999_08_SD_KC,Phil Luckett,Bob Wagner,Gary Slaughter,Byron Boston,Bill Leavy,Ron Liebsack,David Warden
1999_08_CLE_NO,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Peter Morelli
1999_08_MIA_OAK,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steven Zimmer
1999_08_NYG_PHI,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Kevin Mack
1999_08_STL_TEN,Bob McElwee,Scott Dawson,Ron Wilson,Ron Phares,Jim Howey,Ken Baker,Bill Lovett
1999_08_CHI_WAS,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob McCrath
1999_08_SEA_GB,Ron Blum,Steve wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_09_JAX_ATL,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Jim Howey,Ken Baker,Bill Lovett
1999_09_PHI_CAR,Bill Carollo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Tim millis
1999_09_BAL_CLE,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Keven Mack
1999_09_STL_DET,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carrole
1999_09_CHI_GB,Mike Carey,Garth DeFeiece,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Peter Morelli
1999_09_KC_IND,Bernie Kukar,Carl Paganelli,Tom Johnson,Jeff Bergman,Richard Reels,Dave Wyant,lloyd McPeters
1999_09_TEN_MIA,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAulay,Boris Cheek
1999_09_TB_NO,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_09_ARI_NYJ,Ron Blum,Steve Wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_09_DEN_SD,Dick Hantag,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkoqaki,Don Carlsen,Scott Steenson
1999_09_CIN_SEA,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Tolle,Tom Sifferman
1999_09_PIT_SF,Tom White,Jim Quirk,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Kevin Mack
1999_09_BUF_WAS,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steve Zimmer
1999_09_DAL_MIN,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob McGrath
1999_10_DET_ARI,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Peter Morelli
1999_10_MIA_BUF,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_10_MIN_CHI,Bill Carollo,Steve Wilson,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Tim Millis
1999_10_TEN_CIN,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_10_GB_DAL,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Kevin Mack
1999_10_BAL_JAX,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Bob Lawin,Neely Dunn,Bob McGrath
1999_10_SF_NO,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Baetz
1999_10_IND_NYG,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Jim Howey,Ken Baker,Bill Lovett
1999_10_SD_OAK,Tom White,Jim Quirk,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Scott Edwards
1999_10_WAS_PHI,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAuley,Boris Cheek
1999_10_CLE_PIT,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_10_DEN_SEA,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_10_CAR_STL,Phil Luckett,NA,NA,NA,NA,NA,NA
1999_10_KC_TB,Ron Winter,Carl Paganelli,Sanford Rivers,Bruce Maurer,Steve Zimmer,Tom Hill,Billy Smith
1999_10_NYJ_NE,Bernie Kukar,Carl Paganelli,Tom Johnson,Jeff Bergman,Kirk Dornan,Dave Wyant,Lloyd McPeters
1999_11_DAL_ARI,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steven Zimmer
1999_11_BAL_CIN,Phil Luckett,Bob Wagner,Gary Slaughter,Byron Boston,Bill Leavy,Ron Liebsack,David Warden
1999_11_CAR_CLE,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
